Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ch(t) Open Price,SMA Open Price,Ch(t) High Price,SMA High Price,Ch(t) Low Price,SMA Low Price,Ch(t)- Close Price,SMA Close Price,Label
13-Jul-05,29.15,29.55,28.25,29.4,29.27008619,35385,110,1035722,30032,84.87,1.3,0.25,0.008650519,25.44375,0.022491349,25.86875,0.01618705,24.83125,0.044404973,25.41875,1
14-Jul-05,30,30.85,30,30.85,30.79670358,19233,66,592313,19181,99.73,0.85,0.85,0.02915952,25.95,0.043993232,26.42222222,0.061946903,25.40555556,0.049319728,26.02222222,1
15-Jul-05,32.35,32.35,31,31.6,31.90265959,28087,92,896050,28087,100,1.35,-0.75,0.078333333,26.59,0.048622366,27.015,0.033333333,25.965,0.024311183,26.58,1
18-Jul-05,32.5,32.5,30.05,30.2,30.65933232,11862,60,363681,11862,100,2.45,-2.3,0.004636785,27.12727273,0.004636785,27.51363636,-0.030645161,26.33636364,-0.044303797,26.90909091,1
19-Jul-05,31.05,31.65,28.7,31,30.46691112,28363,93,864133,28363,100,2.95,-0.05,-0.044615385,27.45416667,-0.026153846,27.85833333,-0.044925125,26.53333333,0.026490066,27.25,1
20-Jul-05,31.5,32.55,29.5,31.7,31.67508811,67526,104,2138892,67526,100,3.05,0.2,0.014492754,27.76538462,0.028436019,28.21923077,0.027874564,26.76153846,0.022580645,27.59230769,1
21-Jul-05,32.5,33.25,31.25,33.25,33.02719553,44750,101,1477967,44750,100,2,0.75,0.031746032,28.10357143,0.021505376,28.57857143,0.059322034,27.08214286,0.048895899,27.99642857,1
22-Jul-05,33.6,34.9,33.6,34.9,34.79928188,28129,60,978869,28129,100,1.3,1.3,0.033846154,28.47,0.04962406,29,0.0752,27.51666667,0.04962406,28.45666667,1
25-Jul-05,36.6,36.6,36.6,36.6,36.6,13510,26,494466,13510,100,0,0,0.089285714,28.978125,0.048710602,29.475,0.089285714,28.084375,0.048710602,28.965625,1
26-Jul-05,38.4,38.4,38.4,38.4,38.4,11460,29,440064,11460,100,0,0,0.049180328,29.53235294,0.049180328,30,0.049180328,28.69117647,0.049180328,29.52058824,1
